  Field Name,"Code
Value",  Code Description,  Additional Information
MORTGAGE LOAN TYPE CODE,V,VA,
MORTGAGE LOAN TYPE CODE,VA,VETERIANS ADMINISTRATION,
MORTGAGE LOAN TYPE CODE,VHA,VA,
MORTGAGE LOAN TYPE CODE,W,WRAP-AROUND MORTGAGE,
MORTGAGE LOAN TYPE CODE,WRP,WRAP-AROUND MORTGAGE,
MORTGAGE TERM CODE,D,DAYS,
MORTGAGE TERM CODE,M,MONTHS,
MORTGAGE TERM CODE,Y,YEARS,
OWNER ETAL INDICATOR,A,ET AL - AND OTHERS,
OWNER ETAL INDICATOR,C,ET CON - AND HUSBAND,
OWNER ETAL INDICATOR,U,ET UX - AND WIFE,
OWNER ETAL INDICATOR,V,ET VIR - AND HUSBAND,
OWNER RELATIONSHIP TYPE,BS,BROTHER/SISTER,
OWNER RELATIONSHIP TYPE,DC,DECEASED,
OWNER RELATIONSHIP TYPE,DV,DIVORCED,
OWNER RELATIONSHIP TYPE,HW,HUSBAND/WIFE,
OWNER RELATIONSHIP TYPE,MA,MARRIED,
OWNER RELATIONSHIP TYPE,MC,MARRIED COUPLE,
OWNER RELATIONSHIP TYPE,MM,MARRIED MAN,
OWNER RELATIONSHIP TYPE,MW,MARRIED WOMAN,
OWNER RELATIONSHIP TYPE,SI,SINGLE,
OWNER RELATIONSHIP TYPE,SM,SINGLE MAN,
OWNER RELATIONSHIP TYPE,SW,SINGLE WOMAN,
OWNER RELATIONSHIP TYPE,UM,UNMARRIED MAN,
OWNER RELATIONSHIP TYPE,UN,UNMARRIED,
OWNER RELATIONSHIP TYPE,UW,UNMARRIED WOMAN,
OWNER RELATIONSHIP TYPE,WD,WIDOW ,
OWNER RELATIONSHIP TYPE,WR,WIDOWER,
OWNERSHIP RIGHTS CODE,99,HEIRS,
OWNERSHIP RIGHTS CODE,AD,ADMINISTRATOR,
OWNERSHIP RIGHTS CODE,AS,ASSOCIATION,
OWNERSHIP RIGHTS CODE,BS,BROTHER/SISTER,
OWNERSHIP RIGHTS CODE,CE,TRUSTEE (CORPORATION),
OWNERSHIP RIGHTS CODE,CF,CURRENT PURCHASE,
OWNERSHIP RIGHTS CODE,CO,COMPANY / CORPORATION,
OWNERSHIP RIGHTS CODE,CP,COMMUNITY PROPERTY,
OWNERSHIP RIGHTS CODE,CT,CORPORATE TRUST,
OWNERSHIP RIGHTS CODE,DC,DECEASED,
OWNERSHIP RIGHTS CODE,DV,DIVORCED,
OWNERSHIP RIGHTS CODE,EA,ET AL - AND OTHERS,
OWNERSHIP RIGHTS CODE,EC,ET CON - AND HUSBAND,
OWNERSHIP RIGHTS CODE,ES,ESTATE,
OWNERSHIP RIGHTS CODE,EU,ET UX - AND WIFE,
OWNERSHIP RIGHTS CODE,EV,ET VIR - AND HUSBAND,
OWNERSHIP RIGHTS CODE,EX,EXECUTOR/EXECUTRIX,
OWNERSHIP RIGHTS CODE,GD,GUARDIAN,
OWNERSHIP RIGHTS CODE,HW,HUSBAND/WIFE,
OWNERSHIP RIGHTS CODE,IT,IRREVOCABLE TRUST,
OWNERSHIP RIGHTS CODE,JT,JOINT TENANTS,
OWNERSHIP RIGHTS CODE,JV ,JOINT VENTURE,
OWNERSHIP RIGHTS CODE,LB,LIFETIME BENEFIT,
OWNERSHIP RIGHTS CODE,LE,LIFE ESTATE,
OWNERSHIP RIGHTS CODE,LF,LEASE FORM,
OWNERSHIP RIGHTS CODE,LP,LIMITED PARTNERSHIP,
OWNERSHIP RIGHTS CODE,LT,LIVING TRUST,
OWNERSHIP RIGHTS CODE,MA,MARRIED,
OWNERSHIP RIGHTS CODE,MM,MARRIED MAN,
OWNERSHIP RIGHTS CODE,MW,MARRIED WOMAN,
OWNERSHIP RIGHTS CODE,NT,NON-DECLARED TRUST,
OWNERSHIP RIGHTS CODE,PR,PERSONAL REPRESENTATIVE,
OWNERSHIP RIGHTS CODE,PS,PARTNERSHIP,
OWNERSHIP RIGHTS CODE,PT,PERSONAL TRUST,
OWNERSHIP RIGHTS CODE,RM,REMAINDER,
OWNERSHIP RIGHTS CODE,RM,REMAINDERMAN,
OWNERSHIP RIGHTS CODE,RS,RIGHT OF SUBDIVISION,
OWNERSHIP RIGHTS CODE,RS,RIGHT OF SURVIVORSHIP,
OWNERSHIP RIGHTS CODE,RT,REVOCABLE TRUST,
OWNERSHIP RIGHTS CODE,SE,SEPARATE PROPERTY,
OWNERSHIP RIGHTS CODE,SG,SINGLE,
OWNERSHIP RIGHTS CODE,SI,SINGLE,
OWNERSHIP RIGHTS CODE,SM,SINGLE MAN,
OWNERSHIP RIGHTS CODE,SO,SOLE OWNER,
OWNERSHIP RIGHTS CODE,SP,SEPARATE ESTATE/PROPERTY,
OWNERSHIP RIGHTS CODE,SU,SURVIVOR,
OWNERSHIP RIGHTS CODE,SW,SINGLE WOMAN,
OWNERSHIP RIGHTS CODE,TC,TENANTS IN COMMON,
OWNERSHIP RIGHTS CODE,TE,TRUSTEE,
OWNERSHIP RIGHTS CODE,TR,TRUST,
OWNERSHIP RIGHTS CODE,TY,TENANTS BY ENTIRITY,
OWNERSHIP RIGHTS CODE,UI,UNDIVIDED INTEREST / UNDIVIDED INDIVIDUAL,
OWNERSHIP RIGHTS CODE,UI,UNMARRIED INDIVIDUAL,
OWNERSHIP RIGHTS CODE,UM,UNMARRIED MAN,
OWNERSHIP RIGHTS CODE,UN,UNMARRIED,
OWNERSHIP RIGHTS CODE,UW,UNMARRIED WOMAN,
OWNERSHIP RIGHTS CODE,WD,WIDOW,
OWNERSHIP RIGHTS CODE,WF,WIFE,
OWNERSHIP RIGHTS CODE,WR,WIDOWER,
OWNERSHIP RIGHTS CODE,XX,WHOLLY EXEMPT,
PARTIAL INTEREST INDICATOR,Y,YES,
PRICAT,A,Arms Length Transaction,
PRICAT,B,Non Arms Length - Purchase,
PRICAT,C,Non Arms Length - Non Purchase,
PRICAT,D,Non Purchase,
PRICAT,E,Timeshare,
PRICAT,F,Notice of Default/Foreclosure,
PRICAT,G,Assignment,
PRICAT,H,Release of Mortgage/Deed of Trust,
PRIVATE PARTY LENDER,Y,YES,
PRIVATE PARTY LENDER,I,YES,
PROPERTY INDICATOR,10,Single Family Residence / Townhouse,
PROPERTY INDICATOR,11,Condominium (residential),
PROPERTY INDICATOR,20,Commercial,
PROPERTY INDICATOR,21,"Duplex, Triplex, Quadplex)",
PROPERTY INDICATOR,22,Apartment,
PROPERTY INDICATOR,23,"Hotel, Motel",
PROPERTY INDICATOR,24,Commercial (condominium),
PROPERTY INDICATOR,25,Retail,
PROPERTY INDICATOR,26,Service (general public),
PROPERTY INDICATOR,27,Office Building,
PROPERTY INDICATOR,28,Warehouse,
PROPERTY INDICATOR,29,Financial Institution,
PROPERTY INDICATOR,30,"Hospital (medical complex, clinic)",
PROPERTY INDICATOR,31,Parking,
PROPERTY INDICATOR,32,Amusement-Recreation,
PROPERTY INDICATOR,50,Industrial,
PROPERTY INDICATOR,51,Industrial Light,
PROPERTY INDICATOR,52,Industrial Heavy,
PROPERTY INDICATOR,53,Transport,
PROPERTY INDICATOR,54,Utilities,
PROPERTY INDICATOR,70,Agricultural,
PROPERTY INDICATOR,80,Vacant,
PROPERTY INDICATOR,90,Exempt,
PROPERTY INDICATOR,00,Miscellaneous,
REFI FLAG,T,LOAN TO VALUE IS MORE THAN 50%,
REFI FLAG,U,LOAN TO VALUE IS LESS THAN 50%,
RESALE / NEW CONSTRUCTION,M,RESALE,
RESALE / NEW CONSTRUCTION,N,NEW CONSTRUCTION,
RESIDENTIAL MODEL INDICATOR,N,BASED ON ZIP CODE AND VALUE PROPERTY IS NOT RESIDENTIAL,
RESIDENTIAL MODEL INDICATOR,Y,BASED ON ZIP CODE AND VALUE PROPERTY IS RESIDENTIAL,
SALE CODE,1,ENTIRE PROPERTY SALE,
SALE CODE,2,PARTIAL PROPERTY SALE,
SALE CODE,3,MULTI PROPERTY SALE -HEADER RECORD,
SALE CODE,4,MULTI PROPERTY SALE - DETAIL RECORD,
SALE CODE,5,CREATED DURING PROPERTY POST,
SALE CODE,6,SALE ON NEW PROPERTY,
SALE CODE,7,CONVERTED FROM OLD SYSTEM,
SALE CODE,8,MULTI PARTIAL PROPERTY SALE - HEADER RECORD,
SALE CODE,9,MULTI PARTIAL PROPERTY SALE - DETAIL RECORD,
SALE CODE,C,CONFIRMED,
SALE CODE,E,ESTIMATED,
SALE CODE,F,SALE PRICE (FULL),
SALE CODE,L,LESS LIENS AND ENCUMBRANCES,
SALE CODE,P,SALE PRICE (PARTIAL),
SALE CODE,R,LEASE,
SALE CODE,U,UNKNOWN,
SALE CODE,V,VERIFIED,
SALEMLT,D,MULTI / DETAIL PARCEL SALE,
SALEMLT,M,MULTIPLE PARCEL SALE,
SALEMLT,S,SPLIT PARCEL SALE,
SALEMLT,X,MULTI / SPLIT PARCEL SALE,
SECCAT,A,MTG - Seller Carried Loan,
SECCAT,B,MTG - Conforming,
SECCAT,C,MTG - Non Conforming,
SECCAT,D,DEED - Interfamily Transfer,
SECCAT,E,MTG - FHA,
SECCAT,F,MTG - VA,
SECCAT,G,MTG - CNV,
SECCAT,H,MTG - SBA,
SECCAT,I,MTG - Private Party,
SECCAT,J,MTG - Fixed,
SECCAT,K,MTG - Adjustable,
SECCAT,L,MTG - Construction Loan,
SECCAT,M,DEED - Resale,
SECCAT,N,DEED - New Structure Sale,
SECCAT,O,DEED - REO Transfer,
SECCAT,P,DEED - REO Sale,
SECCAT,Q,DEED - Cash Purchase,
SECCAT,R,DEED - Mortgaged Purchase,
SECCAT,S,MTG - Equity (Closed or revolving),
SECCAT,T,MTG - Refinance,
SECCAT,U,MTG - Other Subordinate Loans,
SECCAT,V,BOTH - Residential (Modeled),
SECCAT,W,DEED - Short Sale,
SECCAT,X ,Investor Purcahse,
SECCAT,Y,YES,
SECCAT,A,YES,
TRNTP,1,RESALE,Arms Length Transaction - Sold at Market Value
TRNTP,2,REFINANCE,Stan Alone Mortgage
TRNTP,3,SUBDIVISION/NEW CONSTRUCTION,Based on the seller name - if the name is a builder and the seller is a private individual
TRNTP,4,TIMESHARE,"For a time slot, not a timeshare building"
TRNTP,6,CONSTRUCTION LOAN ,Short loan terms
TRNTP,7,SELLER CARRYBACK,
TRNTP,9,NOMINAL,
