CdTbl,CdVal,CdDesc
BLDG,XEW,VETERINARY HOSPITAL
BLDG,XF0,DORMITORY
BLDG,XGO,FOREST PARK
BLDG,XH0,ORPHANAGE
BLDG,XI0,INSTITUTION
BLDG,XJ0,KENNEL
BLDG,XJV,KENNEL VETERINARY
BLDG,XK0,FRATERNITY
BLDG,XK6,FRATERNITY/SORORITY
BLDG,XL0,LIBRARY
BLDG,XLT,LIBRARY MUSEUM
BLDG,XMM,FUNERAL HOME
BLDG,XMN,NURSING HOME
BLDG,XNH,CONVALESCENT NURSING
BLDG,XNM,NURSING HOME
BLDG,XPM,RETIREMENT HOME
BLDG,XQ0,MORTUARY
BLDG,XQR,MORTUARY/CEMETERY
BLDG,XR0,RELIGIOUS
BLDG,XR5,RELIGIOUS EDUCATION
BLDG,XRI,RELIGIOUS PRE-SCHOOL
BLDG,XRM,RELIGIOUS HOME
BLDG,XRO,RELIGIOUS
BLDG,XRR,CEMETERY
BLDG,XS0,SCHOOL
BLDG,XS7,SCHOOL VOCATIONAL
BLDG,XSB,SCHOOL CLASSROOM
BLDG,XSE,ELEMENTARY SCHOOL
BLDG,XSP,SCHOOL PUBLIC
BLDG,XSQ,SCHOOL PRIVATE
BLDG,XSW,SCHOOL SECONDARY
BLDG,XT0,CLINIC
BLDG,XTG,CLINIC ANIMAL
BLDG,XTJ,CLINIC MEDICAL
BLDG,XTK,CLINIC DENTAL
BLDG,XTL,CLINIC MEDICAL DENTAL
BLDG,XTV,VETERINARY CLINIC
BLDG,XV0,HEALTH
BLDG,XVP,HEALTH PUBLIC
BLDG,XW0,WORSHIP
BLDG,XX0,DISPENSARY
BLDG,XXJ,DISPENSARY MEDICAL
BLDG,XY0,YMCA/YWCA
BLDG,XZ0,TELEPHONE
BLDG,Y00,MIXED USE
BLDG,Y1L,STABLE & LIVING QUARTERS
BLDG,Y1O,STABLE & OFFICE
BLDG,Y1S,STABLE/SHOP
BLDG,Y99,SERVICE STATION & FAST FOOD
BLDG,YBA,BEAUTY SHOP & APARTMENT
BLDG,YCR,COMMERCIAL & RESIDENTIAL
BLDG,YDA,CONDO & SINGLE FAMILY RESIDENC
BLDG,YFA,CAF
BLDG,YGR,COMMERCIAL & RESIDENTIAL
BLDG,YMI,MISCELLANEOUS INDUSTRIAL
BLDG,YOL,OFFICE & LIVING QUARTERS
BLDG,YOR,OFFICE & RESIDENTIAL
BLDG,YOS,OFFICE/SHOP
BLDG,YQ0,RESIDENTIAL & OFFICE
BLDG,YQ1,RESIDENTIAL & STORAGE
BLDG,YQB,RESIDENTIAL & BARN
BLDG,YQJ,RESIDENTIAL & STORAGE
BLDG,YQO,RESIDENTIAL & OFFICE
BLDG,YQR,APARTMENTS & RESIDENTIAL
BLDG,YQS,RESIDENTIAL & SHOP
BLDG,YR0,RETAIL & OFFICE
BLDG,YRA,RETAIL & APARTMENT
BLDG,YRO,RETAIL & OFFICE
BLDG,YRW,RETAIL & WAREHOUSE
BLDG,YS0,STORE & OFFICE
BLDG,YSA,APARTMENT/STORE
BLDG,YSO,STORE & OFFICE
BLDG,YSR,STORE & RESIDENTIAL
BLDG,YSW,WAREHOUSE STORE
BLDG,YTA,TAVERN & APARTMENTS
BLDG,YWR,WAREHOUSE & RESIDENTIAL
BLDSF,A,ADJUSTED SQFT 
BLDSF,B,BUILDING SQFT 
BLDSF,G,GROSS SQFT
BLDSF,H,HEATED SQFT
BLDSF,L,LIVING SQFT 
BLDSF,M,MAIN SQFT 
BLDSF,R,GROUND FLOOR SQFT 
BSMT,000,None
BSMT,001,TYPE UNKNOWN
BSMT,999,TYPE UNKNOWN
BSMT,APT,APARTMENT
BSMT,BFD,FULL DAYLIGHT
BSMT,BFL,FULL
BSMT,BFU,FULL UNFINISHED
BSMT,BGF,GARAGE FINISHED
BSMT,BGU,GARAGE UNFINISHED
BSMT,BSG,GARAGE
BSMT,CEL,CELLAR
BSMT,CRA,CRAWL-SPACE
BSMT,DLF,FINISHED DAYLIGHT
BSMT,DLT,DAYLIGHT
BSMT,FIN,FINISHED
BSMT,MIC,MICHIGAN
BSMT,PDL,PARTIAL DAYLIGHT
BSMT,PFN,PARTIAL FINISHED
BSMT,PRL,PARTIAL
BSMT,PRU,PARTIAL UNFINISHED
BSMT,SLB,SLAB
BSMT,UFD,UNFINISHED DAYLIGHT
BSMT,UNF,UNFINISHED
BSMT,WAL,WALK OUT
BSMTF,000,NONE
BSMTF,001,TYPE UNKNOWN
BSMTF,999,TYPE UNKNOWN
BSMTF,BFL,FULL
BSMTF,CRA,CRAWL-SPACE
BSMTF,FBE,BEDROOM
BSMTF,FBR,BEDROOM & RECREATION ROOM
BSMTF,FCF,COMPLETELY FINISHED
BSMTF,FFD,FINISHED WITH DRYWALL
BSMTF,FFI,FINISHED
BSMTF,FFL,FINISHED WITH PLASTER
BSMTF,FFP,FINISHED WITH PANEL
BSMTF,FIN,FINISHED
BSMTF,FOF,OFFICE
BSMTF,FPA,PARKING
BSMTF,FPF,PARTIALLY FINISHED
BSMTF,FRE,RESIDENT
BSMTF,FRR,RECREATION ROOM
BSMTF,FST,STORAGE
BSMTF,FUN,UNFINISHED
BSMTF,FUT,UTILITY
CNSTR,000,NONE
CNSTR,001,TYPE UNKNOWN
CNSTR,999,TYPE UNKNOWN
CNSTR,ADB,ADOBE
CNSTR,AFR,A FRAME
CNSTR,ALF,ALUMINUM FRAME
CNSTR,ALS,ALUMINUM SIDING
CNSTR,ALV,ALUMINUM/VINYL
CNSTR,AOD,ARCHED/DOME
CNSTR,BCB,BRICK/CINDER BLOCK
CNSTR,BLB,BLOCK/BRICK
CNSTR,BLM,BLOCK/METAL
CNSTR,BLS,BLOCK/STEEL
CNSTR,BRC,BRICK/CONCRETE
CNSTR,BRF,BRICK/FRAME
CNSTR,BRK,BRICK
CNSTR,BRL,BRICK/STEEL
CNSTR,BRM,BRICK/METAL
CNSTR,BRS,BRICK/STUCCO
CNSTR,BST,BRICK/STONE
CNSTR,CCB,CONCRETE BLOCK
CNSTR,CCM,CONCRETE MASONRY
CNSTR,CCS,CONCRETE/STEEL
CNSTR,CLP,CLAPBOARD
CNSTR,CND,CINDER BLOCK
CNSTR,COM,COMBINATION
CNSTR,CRE,CONCRETE
CNSTR,CUS,CUSTOM
CNSTR,DOM,DOME
CNSTR,FLX,FLEXIBLE/FLEXICORE
CNSTR,FPS,FIREPROOF STEEL
CNSTR,FRM,FRAME
CNSTR,FRS,FRAME/STEEL
CNSTR,FRY,FRAME/MASONRY
CNSTR,FST,FRAME/STUCCO
CNSTR,GLA,GLASS
CNSTR,HEA,HEAVY
CNSTR,LIG,LIGHT
CNSTR,LOG,LOG
CNSTR,MAN,MANUFACTURED/MODULAR
CNSTR,MAS,MASONRY
CNSTR,MET,METAL
CNSTR,MSN,MASONRY
CNSTR,MTU,MASONRY TILT-UP
CNSTR,PFR,POLE FRAME
CNSTR,PRM,PREFAB METAL
CNSTR,SFM,STEEL/MASONRY
CNSTR,SRO,STONE/ROCK
CNSTR,STE,STEEL
CNSTR,STS,STEEL/STUCCO
CNSTR,STU,STUCCO
CNSTR,STV,STONE VENEER
CNSTR,STW,STEEL/WOOD
CNSTR,TBM,TILT-UP BRICK/METAL
CNSTR,TLU,TILT-UP
CNSTR,TUC,TILT-UP CONCRETE
CNSTR,WBR,WOOD/BRICK
CNSTR,WCB,WOOD FRAME/CONCRETE BLOCK
CNSTR,WMT,WOOD FRAME/METAL
CNSTR,WOO,WOOD
CNSTR,WSC,WOOD/STUCCO
CNSTR,WSL,WOOD/STEEL
CNSTR,WSN,WOOD/STONE
COND,000,NONE
COND,001,TYPE UNKNOWN
COND,999,TYPE UNKNOWN
COND,AVE,AVERAGE
COND,DMG,PHYSICAL DAMAGE
COND,EXC,EXCELLENT
COND,FAI,FAIR
COND,GOO,GOOD
COND,GTE,GOOD TO EXCELLENT
COND,POO,POOR
COND,UCN,UNDER CONSTRUCTION
COND,UNS,UNSOUND
COND,VGO,VERY GOOD
CORPIND,0,BLANK - UNKNOWN / NOT IDENTIFIED
CORPIND,N,NO - OWNER IS NOT A CORPORATION
CORPIND,Y,YES - OWNER IS A CORPORATION
DOCTY,DP,DOWN PYMT ASSISTANCE LOAN (SC)
DOCTY,DR,DEED OF FULL RELEASE
DOCTY,E,EXEMPTION DEED
DOCTY,EJ,EXECUTOR JOINT TENANT
DOCTY,EQ,EQUITY OR CREDIT LINE
DOCTY,EX,EXECUTORS DEED
DOCTY,F,TRUSTEE DEED
DOCTY,FD,FORECLOSURE DEED
DOCTY,FI,FIDUCIARY DEED
DOCTY,FJ,FINAL JUDGEMENT
DOCTY,FR,FORFEITURE DEED
DOCTY,FS,FEE SIMPLE DEED
DOCTY,G,GRANT DEED
DOCTY,GD,GRANT DEED
DOCTY,GF,GIFT DEED
DOCTY,GJ,GUARDIAN JOINT TENANT
DOCTY,GU,GUARDIAN DEED
DOCTY,GW,GENERAL WARRANTY DEED
DOCTY,HR,HOME OWNERS ASSOC RELEASE
DOCTY,HX,HOME OWNERS ASSOCIATION LIENS
DOCTY,I,ALL INCLUSIVE DEED OF TRUST
DOCTY,IC,INTERCOMPANY DEED TRANSFER
DOCTY,ID,INTERFAMILY DEED
DOCTY,IF,INTERFAMILY DEED TRANSFER
DOCTY,IM,INDEMNITY DEED OF TRUST
DOCTY,IN,INSTITUTIONAL DEED
DOCTY,IS,INTERSPOUSAL DEED TRANSFER
DOCTY,IT,INTERSPOUSAL DEED TRANSFER
DOCTY,IV,INDIVIDUAL GRANT DEED
DOCTY,JD,JOINT TENANCY DEED
DOCTY,JT,JOINT TENANCY DEED
DOCTY,LA,LEASE AGREEMENT
DOCTY,LH,LEASEHOLD DEED
DOCTY,LM,LIMITED WARRANTY DEED
DOCTY,LP,LIS PENDENS
DOCTY,M,MORTGAGE
DOCTY,MA,MARSHALLS DEED
DOCTY,MD,MASTERS DEED (SC)
DOCTY,MF,MORTGAGE FORECLOSURE DEED
DOCTY,MG,MORTGAGE
DOCTY,ML,MECHANIC'S LIEN CONTRACT
DOCTY,MO,MORTGAGE MODIFICATION AGREEMNT
DOCTY,MR,RELEASE OF MECHANICS LIEN
DOCTY,MX,MECHANICS LIEN
DOCTY,N,NOTICE OF DEFAULT
DOCTY,ND,NOTICE OF DEFAULT
DOCTY,NF,NOTICE OF FORECLOSURE
DOCTY,NS,NOTICE OF SALE
DOCTY,NT,NOTICE OF TRUSTEE'S SALE
DOCTY,OT,MISCELLANEOUS DOCUMENT
DOCTY,PA,PUBLIC AUCTION DEED
DOCTY,PB,PROBATE COURT DEED
DOCTY,PD,PARTNERSHIP GRANT DEED
DOCTY,PJ,PERSONAL REP JOINT TENANT
DOCTY,PN,PATENT (LAND)
DOCTY,PO,PAYOFF DEED
DOCTY,PP,APPOINT OF SUBSTITUTE TRUSTEE
DOCTY,PR,PERSONAL REP'S DEED
DOCTY,PT,PUBLIC TRUSTEES DEED
DOCTY,PV,PRIVATE SALE
DOCTY,Q,QUIT CLAIM DEED
DOCTY,QC,QUIT CLAIM DEED
DOCTY,QD,QUIT CLAIM DEED
DOCTY,QJ,JOINT TENANT QUIT CLAIM DEED
DOCTY,R,REVOLVING LINE OF CREDIT
DOCTY,RC,RECEIVER'S DEED
DOCTY,RD,RERECORDED DEED
DOCTY,RE,CERTIFICATE OF REDEMPTION
DOCTY,RF,REFEREES DEED
DOCTY,RL,RELEASE OF LIS PENDENS/NOTICE
DOCTY,RV,REVOLVING LINE OF CREDIT
DOCTY,S,ASSIGNMENT OF DEED OF TRUST
DOCTY,SA,STATE DEED
DOCTY,SB,SUBORDINATE MTG AGREEMENT
DOCTY,SC,CERTIF OF SALE-SHERIFF/MARSHLL
DOCTY,SD,SHERIFF'S DEED
DOCTY,SE,SECURITY DEED OF TR (MTG GA)
DOCTY,SJ,SPECIAL WARRANTY DEED JOINT TE
DOCTY,SL,SUB LEASE
DOCTY,SO,SELLING OFFICER'S DEED (IL)
DOCTY,SR,STRAW DEED
DOCTY,SS,Sheriff's Sale
DOCTY,ST,SETTLEMENT DEED
DOCTY,SU,JOINT SURVIVORSHIP/RIGHT OF
DOCTY,SW,SPECIAL WARRANTY DEED
DOCTY,T,DEED OF TRUST
DOCTY,TA,TRUST AGREEMENT
DOCTY,TC,CERTIFICATE OF TITLE (FL)
DOCTY,TD,TRUSTEE DEED
DOCTY,TE,TRUSTEE'S DEED (FORECLOSURE)
DOCTY,TJ,TRUSTEES JOINT TENANT
DOCTY,TL,LEASEHOLD DEED OF TRUST
DOCTY,TR,DEED OF TRUST
DOCTY,TT,TORRENS DOCUMENT
DOCTY,TU,TRUSTEE'S DEED(TRANSFER)
DOCTY,TX,TAX DEED
DOCTY,U,FORECLOSURE DEED
DOCTY,UD,UNIT DEED
DOCTY,V,DEED
DOCTY,W,WARRANTY DEED
DOCTY,WD,WARRANTY DEED
DOCTY,WJ,WARRANTY DEED JOINT TENANT
DOCTY,X,MULTI-COUNTY/MULTI-STATE
DOCTY,XD,EXCHANGE DEED
DOCTY,XL,CANCELATION OF LEASE
DOCTY,XM,Partial Release of Mortgage/Deed of Trust
DOCTY,XP,EXEMPTION DEED
DOCTY,XX,Partial Release of MechanicÕs Lien
DOCTY,Z,NOMINAL
DOCTY,Â,NOMINAL                        
ELEC,000,NONE
ELEC,001,TYPE UNKNOWN
ELEC,999,TYPE UNKNOWN
ELEC,EAG,AVERAGE WIRING
ELEC,EAV,AVAILABLE
ELEC,EBA,BELOW AVERAGE WIRING
ELEC,ECN,CONNECTED
ELEC,EEX,EXTENSIVE WIRING
ELEC,EGO,GOOD WIRING
ELEC,EHE,HEAVY WIRING
ELEC,ELI,LIGHT WIRING
ELEC,EMA,MAXIMUM WIRING
ELEC,EME,MEDIUM WIRING
ELEC,EMI,MINIMAL WIRING
ELEC,EOV,OVERHEAD WIRES
ELEC,EPR,PRIVATE SOURCE
ELEC,ETY,TYPICAL WIRING
ELEC,EUN,UNDERGROUND WIRES
ETAL ,A,ETAL
ETAL ,C,ETCON 
ETAL ,U,ETUX
ETAL ,V,ETVIR 
EXTNW,000,NONE
EXTNW,001,TYPE UNKNOWN
EXTNW,999,TYPE UNKNOWN
EXTNW,ABL,ALUMINUM/BLOCK
EXTNW,ABP,ASBESTOS/BLOCK/PLYWOOD
EXTNW,ABR,ASBESTOS/BRICK
EXTNW,ABV,ASBESTOS/BRICK VENEER/WOOD
EXTNW,ABW,ASBESTOS/BLOCK/WOOD
EXTNW,ADO,ADOBE BLOCK
EXTNW,AFW,ASPHALT/FIBERGLASS/WOOD FRAME
EXTNW,ALB,ALUMINUM/BRICK
EXTNW,ALF,FRAME/ALUMINUM
EXTNW,ALM,ALUMINUM/MASONITE
EXTNW,ALN,ALUMINUM/STONE
EXTNW,ALS,ALUMINUM SIDING
EXTNW,ALU,ALUMINUM
EXTNW,ALV,ALUMINUM/VINYL
EXTNW,AME,ALUMINUM/METAL
EXTNW,AMS,ALUMINUM SIDING/STUCCO
EXTNW,ASB,ASBESTOS
EXTNW,ASC,ASBESTOS/CONCRETE
EXTNW,ASD,ASPHALT SIDING
EXTNW,ASF,ASBESTOS FRAME
EXTNW,ASG,ASBESTOS SHINGLE
EXTNW,ASI,ASBESTOS SIDING
EXTNW,ASK,ASBESTOS/BLOCK
EXTNW,ASM,ASBESTOS/MASONITE
EXTNW,ASO,ALUMINUM/STUCCO
EXTNW,ASP,ASBESTOS/PERMASTONE
EXTNW,AST,ASBESTOS/STONE
EXTNW,ASV,ASBESTOS/VINYL
EXTNW,ASW,ASBESTOS/WOOD
EXTNW,AWD,ASBESTOS/STONE/WOOD
EXTNW,BAS,BLOCK/ASBESTOS SHINGLE
EXTNW,BBA,BOARD & BATTEN
EXTNW,BBD,BLACK-BOARD
EXTNW,BBS,BRICK/CONCRETE BLOCK STUCCO
EXTNW,BBW,BOARD & BATTEN/WOOD FRAME
EXTNW,BFS,BRICK FRAME/STONE
EXTNW,BFT,BRICK/FRAME/STUCCO
EXTNW,BFV,BRICK/FRAME/VENEER
EXTNW,BFW,BRICK/FRAME/WOOD
EXTNW,BLB,BLOCK/BRICK
EXTNW,BLF,FRAME/BLOCK
EXTNW,BLM,BLOCK/MASONRY
EXTNW,BLO,BLOCK
EXTNW,BLP,BLOCK PAINTED
EXTNW,BLS,BLOCK/STONE
EXTNW,BLT,BLOCK/METAL
EXTNW,BLW,BLOCK/WOOD
EXTNW,BMG,BRICK/METAL & GLASS PANEL
EXTNW,BMM,BRICK/MASONITE
EXTNW,BMN,BRICK/MASONRY/STONE
EXTNW,BMS,BLOCK/MASONRY/STUCCO
EXTNW,BMT,BRICK/METAL
EXTNW,BMV,BRICK/METAL/VENEER
EXTNW,BOP,BOARD ON POST
EXTNW,BRC,BRICK/CONCRETE
EXTNW,BRI,BRICK
EXTNW,BRM,BRICK/MASONRY
EXTNW,BRO,BRICK/STUCCO
EXTNW,BRP,BRICK/PERMASTONE
EXTNW,BRS,BRICK/STONE
EXTNW,BRV,BRICK VENEER
EXTNW,BRW,BRICK/WOOD
EXTNW,BRX,BRICK VENEER/STONE/WOOD
EXTNW,BSD,BRICK SIDING
EXTNW,BSH,BRICK/SHINGLE
EXTNW,BSO,BLOCK/STONE/WOOD
EXTNW,BST,BLOCK/STUCCO
EXTNW,BSV,BRICK/STONE VENEER
EXTNW,BSW,BRICK/STONE/WOOD SIDING
EXTNW,BTL,BRICK/TILE
EXTNW,BVB,BRICK VENEER/BLOCK
EXTNW,BVN,BRICK/VINYL
EXTNW,BVW,BRICK VENEER/WOOD
EXTNW,BWB,BRICK VENEER/WALL BOARD
EXTNW,BWD,BRICK/WOOD SIDING
EXTNW,BWS,BRICK/STUCCO/WOOD
EXTNW,BWT,BRICK/WOOD/STONE VENEER
EXTNW,BWV,BRICK/WOOD/VINYL
EXTNW,CBC,CONCRETE BRICK/COMPOSITION
EXTNW,CBE,CONCRETE BLOCK/STEEL
EXTNW,CBL,CONCRETE BLOCK/METAL
EXTNW,CBM,CINDER BLOCK/MASONITE
EXTNW,CBP,CONCRETE BRICK/PANEL
EXTNW,CBS,CONCRETE BLOCK/STUCCO
EXTNW,CBU,CINDER BLOCK/STUCCO
EXTNW,CBV,CONCRETE BLOCK/STONE VENEER
EXTNW,CBW,CINDER BLOCK/WOOD
EXTNW,CBY,CONCRETE BLOCK/MASONRY
EXTNW,CCB,CINDER BLOCK
EXTNW,CCC,CONCRETE/CINDER BLOCK
EXTNW,CDR,CONCRETE/DRYVIT
EXTNW,CFS,CONCRETE/FRAME/STEEL
EXTNW,CGP,CONCRETE/GLASS PANELS
EXTNW,CHA,TONGUE & GROOVE/CHANNEL
EXTNW,CLA,CLAPBOARD
EXTNW,CLT,CLAY TILE
EXTNW,CMG,CB/METAL/GLASS PANEL
EXTNW,CMS,CONCRETE MASONRY
EXTNW,CMT,CONCRETE/METAL
EXTNW,CMW,CORRUGATED METAL/WALLBOARD
EXTNW,CNB,CONCRETE BLOCK
EXTNW,CNT,CONCRETE TILE
EXTNW,COM,COMPOSITION
EXTNW,CON,CONCRETE
EXTNW,COS,COPPER SIDING
EXTNW,CRP,CORRUGATED PANEL
EXTNW,CRS,CORRUGATED SIDING
EXTNW,CSH,COMPOSITION SHINGLE
EXTNW,CSI,COMPOSITION SIDING
EXTNW,CSP,CORRUGATED STEEL PANEL
EXTNW,CSS,COMPOSITION SIDING/STUCCO
EXTNW,CST,CONCRETE STUCCO
EXTNW,CUS,CUSTOM
EXTNW,CWL,PORCELAIN/ENAMEL PANEL
EXTNW,EIF,INSULATED FINISH/EIFS
EXTNW,FAB,FRAME ALUMINUM/BRICK
EXTNW,FAV,FRAME/ALUMINUM/VINYL
EXTNW,FBR,FIBERBOARD
EXTNW,FCB,FRAME CONCRETE BLOCK/BRICK
EXTNW,FCL,FRAME CLAPBOARD
EXTNW,FHB,FRAME HARDBOARD
EXTNW,FIB,FIBERGLASS
EXTNW,FMM,FRAME/MASONRY
EXTNW,FMV,FRAME/MASONRY/VENEER
EXTNW,FPM,FRAME/PERMASTONE
EXTNW,FPP,FRAME/PLYWOOD
EXTNW,FRA,FRAME
EXTNW,FRB,FRAME BRICK
EXTNW,FRC,FRAME COMPOSITION
EXTNW,FRE,FRAME/SHINGLE
EXTNW,FRG,FRAME/GLASS
EXTNW,FRM,FRAME/METAL
EXTNW,FRS,FRAME/STONE
EXTNW,FRV,FRAME/VINYL
EXTNW,FRW,FRAME/WOOD
EXTNW,FSB,FRAME SHINGLE/BRICK
EXTNW,FSD,FRAME SIDING
EXTNW,FSG,FRAME/STEEL/SIDING
EXTNW,FSL,FRAME-STUD/LATH/STUC/ASB SDG
EXTNW,FSM,FRAME/STEEL/METAL
EXTNW,FSP,FRAME/STEEL PANEL
EXTNW,FSS,FRAME/SHINGLE SIDING
EXTNW,FST,FRAME/STUCCO
EXTNW,FSV,FRAME/STONE/VENEER
EXTNW,FSW,FRAME/WOOD SHINGLE
EXTNW,FTS,FRAME/STUCCO/SIDING
EXTNW,FTW,FRAME/TILE/WOOD
EXTNW,FWB,FRAME WOOD/BRICK
EXTNW,FWC,FRAME WOOD/STUCCO
EXTNW,FWD,FRAME WOOD
EXTNW,FWS,FRAME/WOOD SIDING
EXTNW,GLA,GLASS
EXTNW,GLB,BRICK/GLASS
EXTNW,GLL,ALUMINUM/GLASS
EXTNW,GLM,GLASS/METAL
EXTNW,GLS,GLASS/STEEL
EXTNW,GMA,GLASS/MASONRY
EXTNW,GST,GLASS/STONE
EXTNW,GUN,GUNITE
EXTNW,GWD,GLASS/WOOD
EXTNW,HAR,HARDBOARD
EXTNW,HAY,HAYDITE
EXTNW,HBP,HARDBOARD/PLYWOOD
EXTNW,HBV,HARDBOARD/VINYL
EXTNW,HRW,HARDWOOD
EXTNW,IMI,SYNTHETIC PANEL/SIDING
EXTNW,INC,FIREPROOF/FIRE RETARDANT
EXTNW,IRN,IRON POST/CORRUGATED IRON
EXTNW,LOG,LOG
EXTNW,LPS,LAP SIDING
EXTNW,LWS,LOG/WOOD SHINGLE
EXTNW,MAR,MARBLE
EXTNW,MAS,MASONITE
EXTNW,MBS,MARBLE/STONE
EXTNW,MEL,METAL/STEEL
EXTNW,MET,METAL
EXTNW,MIX,MIXTURE
EXTNW,MLS,METAL/STUCCO
EXTNW,MSC,MASONITE/STUCCO
EXTNW,MSH,MASONITE/SHEATHING
EXTNW,MSM,MASONRY/METAL
EXTNW,MSN,MASONRY
EXTNW,MSS,MASONRY/STONE
EXTNW,MST,MASONITE/STONE
EXTNW,MSV,MASONITE/VINYL
EXTNW,MSW,MASONITE/WOOD
EXTNW,MTP,METAL PANEL
EXTNW,MTS,METAL SIDING
EXTNW,MVN,MASONRY VENEER
EXTNW,MVS,METAL/STONE/VENEER
EXTNW,MWD,METAL/WOOD
EXTNW,MWF,METAL/WOOD FRAME
EXTNW,MYS,MASONRY/STUCCO
EXTNW,MYW,MASONRY/WOOD
EXTNW,OPE,OPEN END
EXTNW,PAB,POST & BOARD
EXTNW,PAN,PANEL
EXTNW,PCP,PRECAST CONCRETE PANEL
EXTNW,PCW,PRECAST CURTAIN WALLS
EXTNW,PER,PERMASTONE
EXTNW,PFM,PREFAB METAL
EXTNW,PFW,PREFAB WOOD
EXTNW,PLS,PLASTER
EXTNW,PLY,PLYWOOD
EXTNW,POR,PORCELAIN/ENAMEL PANEL
EXTNW,PRB,PRESSBOARD
EXTNW,PRC,PRECAST CONCRETE
EXTNW,PRF,PREFAB
EXTNW,PRP,PREFAB PANEL
EXTNW,PST,PANEL/STUCCO
EXTNW,PTP,PRECAST TEXTURED PANEL
EXTNW,PWD,PERMASTONE/WOOD
EXTNW,PWF,PLYWOOD/WOOD FRAME
EXTNW,PWP,PREFAB WOOD PANEL
EXTNW,RBW,BRICK/CONCRETE BLOCK/WOOD
EXTNW,ROC,ROCK/STONE
EXTNW,SBR,"SIMULATED BRICK, ROCK, STONE"
EXTNW,SDS,SIDING SHEATHING
EXTNW,SEW,STEEL/WOOD
EXTNW,SFW,STEEL FRAME/WOOD
EXTNW,SGL,SOLAR GLASS
EXTNW,SGS,SHINGLE SIDING
EXTNW,SGW,SHINGLE/WOOD
EXTNW,SHB,SHINGLE/BRICK
EXTNW,SHE,SHEATHING
EXTNW,SHI,SHINGLE
EXTNW,SHS,SHEATHING/STUCCO
EXTNW,SHW,SHEATHING/WOOD
EXTNW,SIN,SINGLE
EXTNW,SLU,SLUMP
EXTNW,SNS,STONE/SIDING
EXTNW,SNW,STONE/WOOD
EXTNW,SPR,GUNITE/SPRAYCRETE
EXTNW,SSC,STONE/STUCCO
EXTNW,SSD,STONE/WOOD SIDING
EXTNW,SSF,FRAME/STUCCO SHINGLE
EXTNW,SSG,STAINLESS STEEL W/BRONZED GLAS
EXTNW,SSH,SLATE
EXTNW,SSS,SHINGLE/STUCCO
EXTNW,SST,STEEL/STUCCO
EXTNW,SSW,SHINGLE SIDING/WOOD FRAME
EXTNW,STE,STEEL
EXTNW,STF,STEEL FRAME
EXTNW,STM,STUCCO/MASONRY
EXTNW,STO,STONE
EXTNW,STP,STEEL/PANEL
EXTNW,STT,STUCCO/TILE
EXTNW,STU,STUCCO
EXTNW,STV,STONE VENEER
EXTNW,STW,STUCCO/TILE/WOOD
EXTNW,STY,STYROFOAM STUCCO
EXTNW,SUV,STUCCO/VINYL
EXTNW,SVE,STUCCO/VENEER
EXTNW,SVF,STONE VENEER/WOOD FRAME
EXTNW,SVL,STONE/VINYL
EXTNW,SVW,STONE/VENEER/WOOD
EXTNW,SWD,STUCCO/WOOD
EXTNW,SWF,STUCCO/WOOD FRAME
EXTNW,SWS,STONE/WOOD FRAME
EXTNW,TAP,TAR PAPER
EXTNW,TIL,TILE
EXTNW,TLU,TILT-UP/CONCRETE
EXTNW,TUU,TILT-UP
EXTNW,VIN,VINYL
EXTNW,VIT,VITROLITE
EXTNW,VNW,VINYL/WOOD
EXTNW,WAF,WAFERBOARD
EXTNW,WAS,WOOD/ALUMINUM/COMPOSITION SHIN
EXTNW,WDA,WOOD/ALUMINUM
EXTNW,WDF,WOOD FRAME
EXTNW,WDH,WOOD SIDING/SHINGLE
EXTNW,WDS,WOOD SHEATHING
EXTNW,WDV,WOOD VENEER
EXTNW,WFA,WOOD FRAME/ASBESTOS
EXTNW,WFS,WOOD FRAME/SIDING
EXTNW,WFV,WOOD FRAME/VINYL
EXTNW,WFX,WOOD FRAME(STUCCO OR ASBESTOS)
EXTNW,WLB,WALLBOARD
EXTNW,WOO,WOOD
EXTNW,WOS,WOOD SIDING
EXTNW,WRB,WEATHERBOARD
EXTNW,WSS,WOOD SHAKE/SHINGLE
EXTNW,WWL,WINDOW WALL
EXTNW,WWS,WALLBOARD/WOOD SHINGLE
EXTNW,XXX,CBS/HOLW TILE/FR/STUD/SHEAT/SD
FIREP,000,NONE
FIREP,001,TYPE UNKNOWN
FIREP,00L,STEEL
FIREP,0B0,BRICK CHIMNEY
FIREP,0C0,COAL/WOOD
FIREP,0G0,GAS/LOG
FIREP,0L0,STEEL
FIREP,0M0,MASONRY
FIREP,0M1,MASONRY 1 OPENING
FIREP,0M2,MASONRY 2 OPENINGS
FIREP,0N0,CINDER/CONCRETE BLOCK CHIMNE
FIREP,0P0,PREFAB
FIREP,0P2,2 OPENINGS PREFAB
FIREP,0R0,SEE THRU
FIREP,0S0,STONE
FIREP,0T0,METAL
FIREP,0T1,1 METAL OPENING
FIREP,0U0,TYPE UNKNOWN
FIREP,0U1,1 OPENING
FIREP,0U2,2 OPENINGS
FIREP,0U3,3 OPENINGS
FIREP,0U4,4 OPENINGS
FIREP,0U5,5 OPENINGS
FIREP,0U6,6 OPENINGS
FIREP,0U7,7 OPENINGS
FIREP,0U8,8 OPENINGS
FIREP,0U9,9 OPENINGS
